hash,initial_buffer_time,Rebuffer_count,average_duration_of_stalling_event,mean(seqPSNR),averageWeightedBitrate,st_events_max,bitrate_pos_changes_count,bitrate_neg_changes_count,bitrate_max_pos_change,bitrate_max_neg_change,bitrate_mean_pos_change,bitrate_mean_neg_change,freq_of_st,Bitrate_switch_count,freq_of_sw,Rebuffer_percentage,Average_Bitrate_Swithcing_magnitude,Average_relative_Bitrate_Swithcing_magnitude,Ratio_on_highest_sequense_quality_layer,Ratio_on_minimum_sequense_quality_layer,Ratio_on_sequense_quality_layer_max_2,width_height,SI,TI,content,motion,Constant_bitrate,MOS
10,1.2,2,3.2333,32.4019,1533.6,6.3,2,1,2330,-1082,1706,-1082,0.113207334,3,0.169811,0.39271378,1498,776.6666667,0.242914488,0,0.364371732,403691,96,97,animation,high motion,0,46.13657856
11,1.1667,0,0,30.5988,829.2,0,4,0,626,0,312,0,0,4,0.358207886,0,312,312,0.2,0,0.2,222859,96,97,animation,high motion,0,56.50608547
12,1.8333,0,0,29.7693,558.4,0,0,1,0,-172,0,-172,0,1,0.08450728,0,172,-172,0.2,0,0,196608,96,97,animation,high motion,0,62.34586437
13,1.8333,1,0.36667,30.0079,661.6,0.36667,1,1,172,-172,172,-172,0.081967213,2,0.163934426,0.035372877,172,0,0.771701699,0,0,196608,96,97,animation,high motion,0,43.17364597
14,1.8333,2,0.45,30.0641,696,0.53333,0,0,0,0,0,0,0.157068474,0,0,0.082568807,0,0,0.917431193,0,0,196608,96,97,animation,high motion,1,52.5131915
15,8.8333,3,0.75556,28.1378,372.4,1.1,0,1,0,-752,0,-752,0.142180095,1,0.047393365,0.184784824,752,-752,0.163043035,0.652172141,0,110592,96,97,animation,high motion,0,13.73198499
16,2.5333,0,0,29.9489,614,0,0,1,0,-450,0,-450,0,1,0.079787446,0,450,-450,0.2,0,0,216411,96,97,animation,high motion,0,49.42005373
17,1,0,0,31.23,974,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,307200,96,97,animation,high motion,1,62.73786272
18,1.1667,0,0,31.5336,1099.2,0,1,0,626,0,626,0,0,1,0.089551971,0,626,626,0.2,0,0.2,314880,96,97,animation,high motion,0,67.5170543
19,1.1667,0,0,32.2404,1315.6,0,1,0,1708,0,1708,0,0,1,0.089551971,0,1708,1708,0.2,0,0.2,405504,96,97,animation,high motion,0,64.93022972
20,1.5667,1,3.8333,32.3751,1452,3.8333,2,0,626,0,569,0,0.064935065,2,0.12987013,0.277106692,569,569,0.144578662,0,0.433735985,422400,96,97,animation,high motion,0,54.71243383
21,1.1667,0,0,33.488,2244.4,0,2,0,4474,0,2550,0,0,2,0.179103943,0,2550,2550,0.2,0,0.6,556800,96,97,animation,high motion,0,68.11886956
22,0.9,0,0,31.9517,1474.8,0,1,0,626,0,626,0,0,1,0.091743119,0,626,626,0.8,0,0.8,337920,96,97,animation,high motion,0,72.4539381
23,1,0,0,33.3039,1679.6,0,2,0,626,0,569,0,0,2,0.181818182,0,569,569,0.4,0,0.8,534528,96,97,animation,high motion,0,74.32699483
24,1,0,0,33.4722,1793.6,0,3,0,626,0,569.3333333,0,0,3,0.272727273,0,569.3333333,569.3333333,0.2,0,0.8,534528,96,97,animation,high motion,0,73.77491608
25,1,0,0,34.7072,2228.4,0,4,0,1092,0,700,0,0,4,0.363636364,0,700,700,0.2,0,0.8,812928,96,97,animation,high motion,0,74.71602832
26,0.7,1,1.6,32.1829,1452,1.6,1,2,1138,-626,1138,-569,0.081300813,3,0.243902439,0.137931034,758.6666667,0,0.172413793,0,0.517241379,422400,96,97,animation,high motion,0,65.13490768
27,0.73333,0,0,34.6755,1998.4,0,2,0,1138,0,854,0,0,2,0.186335982,0,854,854,0.2000006,0,0.8000024,774144,96,97,animation,high motion,0,74.54457658
28,0.43333,2,0.21667,37.89,2995.6,0.36667,1,1,2800,-1092,2800,-1092,0.184048515,2,0.184048515,0.041534039,1946,854,0.575077851,0,0.766770468,1363968,96,97,animation,high motion,0,66.32636267
29,0.46667,0,0,38.3834,3214,0,1,0,2800,0,2800,0,0,1,0.095541097,0,2800,2800,0.7999976,0,0.7999976,1597440,96,97,animation,high motion,0,85.36209912
30,0.4,3,1.4333,38.7096,3469.6,3.9667,2,1,2800,-1278,2039,-1278,0.204081633,3,0.204081633,0.300699301,1785.333333,933.3333333,0.13986014,0,0.559440559,1597440,96,97,animation,high motion,0,56.48286518
31,0.36667,1,5.9,39.8075,4440.8,5.9,2,1,4078,-1022,2550,-1022,0.061475284,3,0.184425852,0.371070369,2040.666667,1359.333333,0.125785926,0,0.503143705,1597440,96,97,animation,high motion,0,61.88735781
32,0.36667,0,0,39.9674,4645.2,0,2,0,4078,0,2550,0,0,2,0.192925425,0,2550,2550,0.3999988,0,0.7999976,1597440,96,97,animation,high motion,0,80.59486456
33,1.5667,0,0,32.06,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,345600,96,97,animation,high motion,1,71.42617976
34,1.2667,0,0,32.06,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,345600,96,97,animation,high motion,1,67.37963281
35,1.5667,0,0,32.5986,1702.4,0,1,0,512,0,512,0,0,1,0.086455082,0,512,512,0.2,0,1,439296,96,97,animation,high motion,0,67.25961682
36,1.2667,0,0,34.7838,2123.6,0,2,0,570,0,541,0,0,2,0.177514268,0,541,541,0.2,0,1,784896,96,97,animation,high motion,0,80.6649387
37,1.3,0,0,34.8569,2237.6,0,2,0,570,0,541,0,0,2,0.17699115,0,541,541,0.4,0,1,784896,96,97,animation,high motion,0,80.97659119
38,1.2667,0,0,35.4347,2570,0,3,0,1092,0,724.6666667,0,0,3,0.266271402,0,724.6666667,724.6666667,0.2,0,1,964224,96,97,animation,high motion,0,81.25068099
39,1.8333,2,0.36667,33.1966,1793.6,0.63333,1,3,1708,-1082,1708,-740,0.159150771,4,0.318301543,0.068328768,982,-128,0.186334246,0,0.745336985,534528,96,97,animation,high motion,0,67.24427937
40,1.3667,2,1.2167,32.5311,1554.4,1.2667,0,2,0,-626,0,-569,0.144927536,2,0.144927536,0.195708299,569,-569,0.32171668,0,0.48257502,525312,96,97,animation,high motion,0,63.31468092
41,1.7667,2,1.0833,32.8347,1679.6,1.3,1,2,626,-626,626,-569,0.143541013,3,0.21531152,0.178077688,588,-170.6666667,0.328768925,0,0.65753785,534528,96,97,animation,high motion,0,57.46772102
42,1.8,2,1.25,33.5032,1782,1.4,1,1,626,-1138,626,-1138,0.13986014,2,0.13986014,0.2,882,-256,0.48,0,0.64,648960,96,97,animation,high motion,0,65.1162634
43,1.6333,3,0.4,37.8095,3337.2,0.63333,0,1,0,-1092,0,-1092,0.233766841,1,0.07792228,0.107142857,1092,-1092,0.535714286,0,0.892857143,1557504,96,97,animation,high motion,0,66.38349947
44,1.6,3,0.63333,38.9699,3555.6,1.4667,0,1,0,-1092,0,-1092,0.222222222,1,0.074074074,0.159663866,1092,-1092,0.672268908,0,0.840336134,1806336,96,97,animation,high motion,0,68.23156482
45,1.5667,0,0,39.4634,3774,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2073600,96,97,animation,high motion,1,86.26042542
46,1.6333,4,0.85833,39.4634,3774,2.7667,0,0,0,0,0,0,0.265486138,0,0,0.255586821,0,0,0.744413179,0,0.744413179,2073600,96,97,animation,high motion,1,60.76218358
47,1.5667,0,0,39.7547,4029.6,0,1,0,1278,0,1278,0,0,1,0.086455082,0,1278,1278,0.2,0,1,2073600,96,97,animation,high motion,0,76.31033464
48,2.4,4,1.1333,37.7827,3722.4,1.9,0,4,0,-1662,0,-1118.5,0.236220937,4,0.236220937,0.311925027,1118.5,-1118.5,0.137614995,0,0.688074973,1378176,96,97,animation,high motion,0,59.16634244
49,2.4,4,1.5,38.3943,3938.8,2.1333,0,4,0,-1278,0,-990.5,0.217391304,4,0.217391304,0.375,990.5,-990.5,0.125,0,0.625,1557504,96,97,animation,high motion,0,50.40246519
50,1.9,3,1.9556,40.0492,4526.8,3.0333,0,3,0,-1278,0,-1130.666667,0.168855218,3,0.168855218,0.369749223,1130.666667,-1130.666667,0.126050155,0,0.630250777,1806336,96,97,animation,high motion,0,57.61518873
51,1.9667,0,0,41.1681,5256.4,0,0,1,0,-1022,0,-1022,0,1,0.083565227,0,1022,-1022,0.2,0,1,2073600,96,97,animation,high motion,0,92.39987509
52,2.4,3,1.2667,36.0932,3606,1.8333,0,2,0,-3392,0,-2237,0.185185185,2,0.12345679,0.275362319,2237,-2237,0.289855072,0,0.724637681,1007616,96,97,animation,high motion,0,61.55419869
53,1.9,3,2.0444,39.0264,4489.2,3.7,0,1,0,-3962,0,-3962,0.166358903,1,0.055452968,0.380164009,3962,-3962,0.371901595,0,0.619835991,1557504,96,97,animation,high motion,0,56.07948336
54,1.9,3,1.8444,38.5609,4500.8,3.4333,0,2,0,-3392,0,-2237,0.172084459,2,0.114722973,0.356221794,2237,-2237,0.386266923,0,0.643778206,1378176,96,97,animation,high motion,0,60.26445419
55,1.9,3,2.6667,40.2598,4821.6,3.7333,0,2,0,-2300,0,-1981,0.150753769,2,0.100502513,0.444444444,1981,-1981,0.333333333,0,0.555555556,1806336,96,97,animation,high motion,0,55.90977448
56,1.9667,1,0.066667,41.8834,6074,0.066667,0,0,0,0,0,0,0.083102723,0,0,0.006615938,0,0,0.993384062,0,0.993384062,2073600,96,97,animation,high motion,1,87.11098688
57,1.7667,3,0.57778,32.3694,212,0.73333,0,0,0,0,0,0,0.222222222,0,0,0.147724851,0,0,0.852275149,0.852275149,0,76800,44,68,nature,smooth motion,1,31.99882415
58,0.5,1,0.16667,33.9921,402.2,0.16667,2,1,417,-684,342,-684,0.093749707,3,0.281249121,0.016393717,456,0,0.196720666,0.590161999,0,133352,44,68,nature,smooth motion,0,39.92175399
59,0.7,0,0,35.4514,736,0,2,1,1315,-1315,875,-1315,0,3,0.280373832,0,1021.666667,145,0.2,0.4,0.2,231084,44,68,nature,smooth motion,0,57.43086971
60,0.26667,0,0,35.7425,745,0,2,1,684,-613,648.5,-613,0,3,0.292206843,0,636.6666667,228,0.1999994,0.3999988,0.1999994,202752,44,68,nature,smooth motion,0,54.3357947
61,0.16667,0,0,35.7315,785.8,0,2,1,1066,-1315,875,-1315,0,3,0.295081,0,1021.666667,145,0.1999994,0.3999988,0.1999994,252968,44,68,nature,smooth motion,0,54.12332892
62,0.2,0,0,36.0356,835.6,0,2,1,1066,-1066,875,-1066,0,3,0.294117647,0,938.6666667,228,0.2,0.4,0.2,276480,44,68,nature,smooth motion,0,53.45737426
63,0.26667,0,0,36.9741,1048.8,0,2,0,1066,0,875,0,0,2,0.194804562,0,875,875,0.3999988,0.3999988,0.3999988,368640,44,68,nature,smooth motion,0,58.42223287
64,0.2,0,0,37.0797,1163.8,0,3,0,1066,0,775,0,0,3,0.294117647,0,775,775,0.2,0.4,0.4,368640,44,68,nature,smooth motion,0,60.45434058
65,0.16667,0,0,37.9221,1486.6,0,3,0,1641,0,1121.333333,0,0,3,0.295081,0,1121.333333,1121.333333,0.1999994,0.3999988,0.3999988,494592,44,68,nature,smooth motion,0,66.40429726
66,1.0333,0,0,34.1826,386.6,0,1,0,154,0,154,0,0,1,0.090634715,0,154,154,0.4,0,0,141810,44,68,nature,smooth motion,0,45.12541779
67,1.0333,0,0,35.8182,648.6,0,3,0,249,0,190.3333333,0,0,3,0.271904145,0,190.3333333,190.3333333,0.4,0,0,216411,44,68,nature,smooth motion,0,62.08365212
68,1.0333,0,0,36.0278,771.2,0,4,0,613,0,296,0,0,4,0.36253886,0,296,296,0.2,0,0.2,222859,44,68,nature,smooth motion,0,62.42569012
69,1.0333,2,3.7167,38.6488,1568,6.6,3,1,2058,-575,929,-575,0.108303054,4,0.216606107,0.426388427,840.5,553,0.229444629,0,0.344166944,536002,44,68,nature,smooth motion,0,42.53767965
70,1.4333,0,0,35.1864,512.6,0,0,1,0,-168,0,-168,0,1,0.087463812,0,168,-168,0.2,0,0,196608,44,68,nature,smooth motion,0,54.24127126
71,1.4333,3,0.35556,35.7069,647,0.4,0,0,0,0,0,0,0.24,0,0,0.096388264,0,0,0.903611736,0,0,196608,44,68,nature,smooth motion,1,49.59094037
72,6.7333,4,0.45,33.1831,348.8,0.56667,0,1,0,-684,0,-684,0.215827726,1,0.053956932,0.152542373,684,-684,0.169491525,0.677966102,0,110592,44,68,nature,smooth motion,0,26.80487397
73,1.9333,0,0,35.4391,562.4,0,0,1,0,-417,0,-417,0,1,0.083799117,0,417,-417,0.2,0,0,216411,44,68,nature,smooth motion,0,53.28898501
74,1.4333,0,0,38.4758,1304.6,0,2,1,862,-249,657.5,-249,0,3,0.262391436,0,521.3333333,355.3333333,0.2,0,0.6,393192,44,68,nature,smooth motion,0,69.76709241
75,0.76667,0,0,37.0772,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999997,0,0,307200,44,68,nature,smooth motion,1,67.50687237
76,0.86667,0,0,38.0156,1109.2,0,1,0,1066,0,1066,0,0,1,0.092024258,0,1066,1066,0.1999994,0,0.1999994,405504,44,68,nature,smooth motion,0,76.6590781
77,0.7,0,0,38.2301,1386.4,0,1,0,613,0,613,0,0,1,0.093457944,0,613,613,0.8,0,0.8,337920,44,68,nature,smooth motion,0,70.49716486
78,0.76667,0,0,38.9589,1477,0,2,0,613,0,533,0,0,2,0.185757939,0,533,533,0.1999994,0,0.7999976,430848,44,68,nature,smooth motion,0,76.77041975
79,0.86667,1,0.2,38.9589,1477,0.2,2,0,613,0,533,0,0.090361174,2,0.180722347,0.019610727,533,533,0.196077855,0,0.784311419,430848,44,68,nature,smooth motion,0,65.84350588
80,0.76667,0,0,39.3576,1682.6,0,3,0,613,0,547,0,0,3,0.278636908,0,547,547,0.1999994,0,0.7999976,534528,44,68,nature,smooth motion,0,80.42555671
81,0.86667,1,0.46667,40.613,2481.2,0.46667,3,0,3418,0,1686.333333,0,0.088235554,3,0.264706661,0.04458264,1686.333333,1686.333333,0.191083472,0,0.764333888,684288,44,68,nature,smooth motion,0,69.22780745
82,0.76667,0,0,39.5005,1658.2,0,2,0,613,0,533,0,0,2,0.185757939,0,533,533,0.5999982,0,0.7999976,648960,44,68,nature,smooth motion,0,83.6920866
83,0.76667,0,0,40.4486,2096,0,4,0,1039,0,670,0,0,4,0.371515878,0,670,670,0.1999994,0,0.7999976,812928,44,68,nature,smooth motion,0,81.4704891
84,0.56667,0,0,40.5088,1978.8,0,2,0,1066,0,820.5,0,0,2,0.189273851,0,820.5,820.5,0.3999988,0,0.7999976,774144,44,68,nature,smooth motion,0,85.83633742
85,0.46667,2,1.8,39.2778,1682.6,1.9667,1,2,1641,-575,1641,-514,0.142179758,3,0.213269637,0.264707504,889.6666667,204.3333333,0.147058499,0,0.588233997,534528,44,68,nature,smooth motion,0,62.63773346
86,0.36667,0,0,42.6548,3040,0,1,0,2680,0,2680,0,0,1,0.096462712,0,2680,2680,0.7999976,0,0.7999976,1597440,44,68,nature,smooth motion,0,81.44728929
87,0.36667,3,0.66667,42.6548,3040,0.96667,1,0,2680,0,2680,0,0.242586947,1,0.080862316,0.16666875,2680,2680,0.666665,0,0.666665,1597440,44,68,nature,smooth motion,0,63.52788425
88,0.33333,3,1.5778,42.936,3309.4,2.4,2,1,2680,-1347,2013.5,-1347,0.199114604,3,0.199114604,0.321268657,1791.333333,893.3333333,0.135746269,0,0.542985074,1597440,44,68,nature,smooth motion,0,50.47137416
89,0.33333,0,0,43.8429,4261,0,3,0,2680,0,1686.333333,0,0,3,0.290323517,0,1686.333333,1686.333333,0.4000012,0,0.8000024,1597440,44,68,nature,smooth motion,0,77.85592504
90,0.33333,2,3.7167,43.8562,4261,3.9,2,1,2680,-1032,2529.5,-1032,0.112570145,3,0.168855218,0.42638744,2030.333333,1342.333333,0.229445024,0,0.458890048,1597440,44,68,nature,smooth motion,0,56.85927161
91,1.3667,0,0,38.9916,1599.6,0,0,1,0,-453,0,-453,0,1,0.087976282,0,453,-453,0.2,0,1,439296,44,68,nature,smooth motion,0,71.85809002
92,1.4,3,0.51111,40.9656,1962,0.53333,0,0,0,0,0,0,0.231959361,0,0,0.132945471,0,0,0.867054529,0,0.867054529,921600,44,68,nature,smooth motion,1,57.06368715
93,1.1333,0,0,40.9656,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,921600,44,68,nature,smooth motion,1,89.8898532
94,1.1333,0,0,41.4858,2307,0,1,0,575,0,575,0,0,1,0.089820628,0,575,575,0.6,0,1,921600,44,68,nature,smooth motion,0,81.38642279
95,1.1333,0,0,42.1291,2514.8,0,2,0,1039,0,807,0,0,2,0.179641256,0,807,807,0.2,0,1,1115136,44,68,nature,smooth motion,0,81.84007313
96,1.1333,1,0.13333,41.5815,2422,0.13333,1,0,575,0,575,0,0.088757134,1,0.088757134,0.013164387,575,575,0.78946849,0,0.986835613,921600,44,68,nature,smooth motion,0,77.04969897
97,2.3,2,0.7,38.8104,1592,1.2,1,2,613,-1028,613,-820.5,0.145985401,3,0.218978102,0.122807018,751.3333333,-342.6666667,0.175438596,0,0.701754386,430848,44,68,nature,smooth motion,0,63.27271912
98,1.9667,2,0.83333,39.3043,1560,0.83333,0,3,0,-613,0,-547,0.146699625,3,0.220049438,0.142852245,547,-547,0.171429551,0,0.514288653,525312,44,68,nature,smooth motion,0,63.76299935
99,1.8667,2,1.0333,40.3484,1888.2,1.1333,1,3,1641,-613,1641,-547,0.143541013,4,0.287082027,0.17126614,820.5,0,0.331493544,0,0.662987088,648960,44,68,nature,smooth motion,0,68.28380336
100,1.8333,2,1.3,39.9733,1920.2,1.4333,0,1,0,-1028,0,-1028,0.138568449,1,0.069284225,0.206349206,1028,-1028,0.317460317,0,0.793650794,543744,44,68,nature,smooth motion,0,70.72995143
101,1.5333,4,0.31667,43.4057,3429.8,0.63333,0,2,0,-1347,0,-1193,0.3125,2,0.15625,0.112428661,1193,-1193,0.177514268,0,0.887571339,1557504,44,68,nature,smooth motion,0,72.44015165
102,1.5,4,0.65833,43.6944,3637.6,1.8,0,2,0,-1347,0,-1193,0.283019535,2,0.141509768,0.208441183,1193,-1193,0.158311763,0,0.791558817,1806336,44,68,nature,smooth motion,0,58.70590385
103,1.5,0,0,44.3377,3845.4,0,0,1,0,-1347,0,-1347,0,1,0.086956522,0,1347,-1347,0.2,0,1,2073600,44,68,nature,smooth motion,0,82.42662517
104,1.4667,2,0.46667,45.181,4653.6,0.6,1,1,1347,-1347,1347,-1347,0.161290323,2,0.161290323,0.085363065,1347,0,0.731709548,0,0.914636935,2073600,44,68,nature,smooth motion,0,67.38294914
105,1.5,3,1.1667,43.6586,3738.6,2.2667,0,1,0,-2961,0,-2961,0.2,1,0.066666667,0.259259259,2961,-2961,0.444444444,0,0.740740741,1557504,44,68,nature,smooth motion,0,55.21746727
106,1.5,3,0.56667,45.4575,4923,0.73333,0,0,0,0,0,0,0.227272727,0,0,0.145299145,0,0,0.854700855,0,0.854700855,2073600,44,68,nature,smooth motion,1,66.43953882
107,1.5,3,1.3333,43.0289,3700,1.7333,0,4,0,-1347,0,-1111.5,0.193548387,4,0.258064516,0.285714286,1111.5,-1111.5,0.142857143,0,0.714285714,1378176,44,68,nature,smooth motion,0,63.14611321
108,1.5,4,1.1833,43.7577,3790.6,2.2,0,4,0,-1347,0,-998.25,0.246407077,4,0.246407077,0.321265433,998.25,-998.25,0.135746913,0,0.678734567,1557504,44,68,nature,smooth motion,0,60.38282459
109,1.5,4,1.7667,44.152,4113.4,3.9333,0,3,0,-1347,0,-1139.333333,0.21543947,3,0.161579602,0.414063644,1139.333333,-1139.333333,0.117187271,0,0.585936356,1806336,44,68,nature,smooth motion,0,52.52011314
110,1.2667,2,4.1667,45.3818,4860,6.2667,0,2,0,-1347,0,-1189.5,0.102040816,2,0.102040816,0.454544463,1189.5,-1189.5,0.109091107,0,0.545455537,2073600,44,68,nature,smooth motion,0,59.61922707
111,1.3,0,0,45.6387,5129.4,0,0,1,0,-1032,0,-1032,0,1,0.088495575,0,1032,-1032,0.2,0,1,2073600,44,68,nature,smooth motion,0,86.79169478
112,1.5,3,1.3444,42.6866,3700.8,2,0,2,0,-2379,0,-2223,0.193133462,2,0.128755641,0.287409234,2223,-2223,0.285036306,0,0.712590766,1209600,44,68,nature,smooth motion,0,59.28503215
113,1.2667,2,2.15,43.2206,4144.6,2.9333,0,2,0,-3993,0,-2529.5,0.128479382,2,0.128479382,0.300699301,2529.5,-2529.5,0.41958042,0,0.559440559,1363968,44,68,nature,smooth motion,0,61.5196611
114,1.2667,2,3.6,43.9181,4590,4.5333,0,2,0,-2379,0,-2223,0.108303054,2,0.108303054,0.418604651,2223,-2223,0.348837209,0,0.581395349,1612800,44,68,nature,smooth motion,0,62.65899539
115,1.2667,3,2.8333,44.7525,4795.6,4.5667,0,2,0,-2379,0,-1709,0.151770402,2,0.101180268,0.459459459,1709,-1709,0.324324324,0,0.540540541,1806336,44,68,nature,smooth motion,0,57.03208741
116,1.3,3,0.12222,46.3026,5955,0.2,0,0,0,0,0,0,0.257142122,0,0,0.035372877,0,0,0.964627123,0,0.964627123,2073600,44,68,nature,smooth motion,1,77.07829861
117,2.04,4,0.54,28.5837,223,0.68,0,0,0,0,0,0,0.281690141,0,0,0.177631579,0,0,0.822368421,0.822368421,0,76800,64,37,animals,camera motion,1,26.72750096
118,0.24,0,0,31.552,916.2,0,2,1,1195,-1195,976,-1195,0,3,0.29296875,0,1049,252.3333333,0.2,0.4,0.2,276480,64,37,animals,camera motion,0,53.75682358
119,0.24,0,0,30.9438,891.2,0,2,1,1827,-2584,1292,-2584,0,3,0.29296875,0,1722.666667,0,0.2,0.6,0.2,221184,64,37,animals,camera motion,0,45.52784779
120,1.2,0,0,30.2169,422.2,0,1,0,168,0,168,0,0,1,0.089285714,0,168,168,0.4,0,0,141810,64,37,animals,camera motion,0,52.22374329
121,2.36,0,0,31.184,614.4,0,0,1,0,-457,0,-457,0,1,0.080906149,0,457,-457,0.2,0,0,216411,64,37,animals,camera motion,0,60.14953481
122,1.56,1,0.04,33.3214,1329,0.04,1,1,955,-280,955,-280,0.086206897,2,0.172413793,0.003984064,617.5,337.5,0.597609562,0,0.597609562,304520,64,37,animals,camera motion,0,67.56996262
123,1.08,0,0,32.9502,1115,0,1,0,675,0,675,0,0,1,0.090252708,0,675,675,0.2,0,0.2,314880,64,37,animals,camera motion,0,72.65760922
124,1.08,1,0.44,34.412,1854.4,0.44,3,0,675,0,609,0,0.086805556,3,0.260416667,0.042145594,609,609,0.191570881,0,0.766283525,534528,64,37,animals,camera motion,0,68.71504089
125,0.68,0,0,34.7951,2062.4,0,2,0,1195,0,913.5,0,0,2,0.187265918,0,913.5,913.5,0.2,0,0.8,774144,64,37,animals,camera motion,0,70.58267265
126,2.2,2,0.92,34.3913,1832,1.4,1,1,675,-1195,675,-1195,0.142450142,2,0.142450142,0.155405405,935,-260,0.506756757,0,0.675675676,648960,64,37,animals,camera motion,0,62.91583015
127,0.68,0,0,34.441,448,0,2,1,446,-714,357,-714,0,3,0.280898876,0,476,0,0.2,0.6,0,133352,45,52,natue,smooth motion,0,39.18203869
128,1.24,0,0,36.58,848.2,0,3,0,621,0,405,0,0,3,0.266903915,0,405,405,0.2,0,0.2,244338,45,52,natue,smooth motion,0,64.72034443
129,2.12,0,0,35.398,527.6,0,0,1,0,-168,0,-168,0,1,0.082508251,0,168,-168,0.2,0,0,196608,45,52,natue,smooth motion,0,61.0142327
130,10.12,3,0.49333,33.457,358.8,1.04,0,1,0,-714,0,-714,0.138888889,1,0.046296296,0.128919861,714,-714,0.174216028,0.696864111,0,110592,45,52,natue,smooth motion,0,26.73297134
131,1.16,0,0,37.2329,930,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,307200,45,52,natue,smooth motion,1,65.65831692
132,1.04,0,0,38.2676,1426.8,0,1,0,621,0,621,0,0,1,0.09057971,0,621,621,0.8,0,0.8,337920,45,52,natue,smooth motion,0,74.80991035
133,1.16,0,0,39.3489,1724.6,0,3,0,621,0,551.6666667,0,0,3,0.268817204,0,551.6666667,551.6666667,0.2,0,0.8,534528,45,52,natue,smooth motion,0,82.02965326
134,1.28,0,0,39.3489,1724.6,0,3,0,621,0,551.6666667,0,0,3,0.265957447,0,551.6666667,551.6666667,0.2,0,0.8,534528,45,52,natue,smooth motion,0,84.8839799
135,0.52,1,1.12,41.7871,3210.8,1.12,1,0,2851,0,2851,0,0.085910653,1,0.085910653,0.100719424,2851,2851,0.71942446,0,0.71942446,1597440,45,52,natue,smooth motion,0,71.98755035
136,1.96,3,1.44,42.545,4558,2.04,0,2,0,-3633,0,-2333.5,0.184275184,2,0.122850123,0.301675978,2333.5,-2333.5,0.418994413,0,0.698324022,1378176,45,52,natue,smooth motion,0,64.61139426
137,0.26667,0,0,26.4105,860,0,2,0,803,0,747,0,0,2,0.194804562,0,747,747,0.1999994,0.3999988,0.1999994,202752,70,52,game,average motion,0,34.70136212
138,0.91667,0,0,26.0786,845.2,0,2,1,1283,-1949,1043,-1949,0,3,0.274808321,0,1345,45.66666667,0.1999994,0.3999988,0.1999994,231084,70,52,game,average motion,0,30.53165742
139,1.2333,0,0,26.5466,754,0,3,0,295,0,222,0,0,3,0.267063107,0,222,222,0.4,0,0,216411,70,52,game,average motion,0,46.05160229
